event_id,is_anomalous,anomaly_type,severity,generation_reason
EVT_000071,False,NORMAL,none,Standard event within normal baseline
EVT_000072,False,NORMAL,none,Standard event within normal baseline
EVT_000073,False,NORMAL,none,Standard event within normal baseline
EVT_000074,False,NORMAL,none,Standard event within normal baseline
EVT_000075,False,NORMAL,none,Standard event within normal baseline
EVT_000076,False,NORMAL,none,Standard event within normal baseline
EVT_000077,False,NORMAL,none,Standard event within normal baseline
EVT_000078,True,COMMUNICATION_ANOMALY,medium,High-frequency short duration ping call
EVT_000079,False,NORMAL,none,Standard event within normal baseline
EVT_000080,False,NORMAL,none,Standard event within normal baseline
EVT_000081,False,NORMAL,none,Standard event within normal baseline
EVT_000082,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000083,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000084,False,NORMAL,none,Standard event within normal baseline
EVT_000085,False,NORMAL,none,Standard event within normal baseline
EVT_000086,False,NORMAL,none,Standard event within normal baseline
EVT_000087,False,NORMAL,none,Standard event within normal baseline
EVT_000088,False,NORMAL,none,Standard event within normal baseline
EVT_000089,False,NORMAL,none,Standard event within normal baseline
EVT_000090,False,NORMAL,none,Standard event within normal baseline
EVT_000091,False,NORMAL,none,Standard event within normal baseline
EVT_000092,False,NORMAL,none,Standard event within normal baseline
EVT_000093,False,NORMAL,none,Standard event within normal baseline
EVT_000094,False,NORMAL,none,Standard event within normal baseline
EVT_000095,False,NORMAL,none,Standard event within normal baseline
EVT_000096,False,NORMAL,none,Standard event within normal baseline
EVT_000097,False,NORMAL,none,Standard event within normal baseline
EVT_000098,False,NORMAL,none,Standard event within normal baseline
EVT_000099,True,COMMUNICATION_ANOMALY,medium,High-frequency short duration ping call
EVT_000100,False,NORMAL,none,Standard event within normal baseline
EVT_000101,False,NORMAL,none,Standard event within normal baseline
EVT_000102,False,NORMAL,none,Standard event within normal baseline
EVT_000103,False,NORMAL,none,Standard event within normal baseline
EVT_000104,False,NORMAL,none,Standard event within normal baseline
EVT_000105,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000106,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000107,False,NORMAL,none,Standard event within normal baseline
EVT_000108,False,NORMAL,none,Standard event within normal baseline
EVT_000109,True,TRANSACTION_ANOMALY,high,Unusually high-value cross-account mule transfer
EVT_000110,True,HIGH_ACTIVITY,medium,Elevated transactional volume from network hub
EVT_000111,False,NORMAL,none,Standard event within normal baseline
EVT_000112,True,SHARED_INFRASTRUCTURE,high,Event originated from high-fanout shared device/IP cluster
EVT_000113,False,NORMAL,none,Standard event within normal baseline
EVT_000114,False,NORMAL,none,Standard event within normal baseline
EVT_000115,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000116,False,NORMAL,none,Standard event within normal baseline
EVT_000117,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000118,False,NORMAL,none,Standard event within normal baseline
EVT_000119,False,NORMAL,none,Standard event within normal baseline
EVT_000120,False,NORMAL,none,Standard event within normal baseline
EVT_000121,False,NORMAL,none,Standard event within normal baseline
EVT_000122,False,NORMAL,none,Standard event within normal baseline
EVT_000123,False,NORMAL,none,Standard event within normal baseline
EVT_000124,False,NORMAL,none,Standard event within normal baseline
EVT_000125,False,NORMAL,none,Standard event within normal baseline
EVT_000126,False,NORMAL,none,Standard event within normal baseline
EVT_000127,False,NORMAL,none,Standard event within normal baseline
EVT_000128,False,NORMAL,none,Standard event within normal baseline
EVT_000129,False,NORMAL,none,Standard event within normal baseline
EVT_000130,False,NORMAL,none,Standard event within normal baseline
EVT_000131,True,TRANSACTION_ANOMALY,high,Unusually high-value cross-account mule transfer
EVT_000132,False,NORMAL,none,Standard event within normal baseline
EVT_000133,False,NORMAL,none,Standard event within normal baseline
EVT_000134,False,NORMAL,none,Standard event within normal baseline
EVT_000135,False,NORMAL,none,Standard event within normal baseline
EVT_000136,False,NORMAL,none,Standard event within normal baseline
EVT_000137,False,NORMAL,none,Standard event within normal baseline
EVT_000138,False,NORMAL,none,Standard event within normal baseline
EVT_000139,False,NORMAL,none,Standard event within normal baseline
EVT_000140,False,NORMAL,none,Standard event within normal baseline
EVT_000141,True,COMMUNICATION_ANOMALY,medium,High-frequency short duration ping call
EVT_000142,False,NORMAL,none,Standard event within normal baseline
EVT_000143,False,NORMAL,none,Standard event within normal baseline
EVT_000144,False,NORMAL,none,Standard event within normal baseline
EVT_000145,False,NORMAL,none,Standard event within normal baseline
EVT_000146,False,NORMAL,none,Standard event within normal baseline
EVT_000147,True,COMMUNICATION_ANOMALY,medium,High-frequency short duration ping call
EVT_000148,False,NORMAL,none,Standard event within normal baseline
EVT_000149,False,NORMAL,none,Standard event within normal baseline
EVT_000150,False,NORMAL,none,Standard event within normal baseline
EVT_000151,False,NORMAL,none,Standard event within normal baseline
EVT_000152,False,NORMAL,none,Standard event within normal baseline
EVT_000153,False,NORMAL,none,Standard event within normal baseline
EVT_000154,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000155,False,NORMAL,none,Standard event within normal baseline
EVT_000156,False,NORMAL,none,Standard event within normal baseline
EVT_000157,False,NORMAL,none,Standard event within normal baseline
EVT_000158,False,NORMAL,none,Standard event within normal baseline
EVT_000159,False,NORMAL,none,Standard event within normal baseline
EVT_000160,False,NORMAL,none,Standard event within normal baseline
EVT_000161,False,NORMAL,none,Standard event within normal baseline
EVT_000162,False,NORMAL,none,Standard event within normal baseline
EVT_000163,False,NORMAL,none,Standard event within normal baseline
EVT_000164,False,NORMAL,none,Standard event within normal baseline
EVT_000165,False,NORMAL,none,Standard event within normal baseline
EVT_000166,False,NORMAL,none,Standard event within normal baseline
EVT_000167,False,NORMAL,none,Standard event within normal baseline
EVT_000168,False,NORMAL,none,Standard event within normal baseline
EVT_000169,False,NORMAL,none,Standard event within normal baseline
EVT_000170,False,NORMAL,none,Standard event within normal baseline
EVT_000171,False,NORMAL,none,Standard event within normal baseline
EVT_000172,False,NORMAL,none,Standard event within normal baseline
EVT_000173,False,NORMAL,none,Standard event within normal baseline
EVT_000174,False,NORMAL,none,Standard event within normal baseline
EVT_000175,False,NORMAL,none,Standard event within normal baseline
EVT_000176,False,NORMAL,none,Standard event within normal baseline
EVT_000177,False,NORMAL,none,Standard event within normal baseline
EVT_000178,False,NORMAL,none,Standard event within normal baseline
EVT_000179,True,LOCATION_ANOMALY,medium,Event recorded with rapid impossible geographical transit
EVT_000180,False,NORMAL,none,Standard event within normal baseline
EVT_000181,False,NORMAL,none,Standard event within normal baseline
EVT_000182,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000183,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000184,False,NORMAL,none,Standard event within normal baseline
EVT_000185,False,NORMAL,none,Standard event within normal baseline
EVT_000186,False,NORMAL,none,Standard event within normal baseline
EVT_000187,False,NORMAL,none,Standard event within normal baseline
EVT_000188,False,NORMAL,none,Standard event within normal baseline
EVT_000189,False,NORMAL,none,Standard event within normal baseline
EVT_000190,False,NORMAL,none,Standard event within normal baseline
EVT_000191,False,NORMAL,none,Standard event within normal baseline
EVT_000192,False,NORMAL,none,Standard event within normal baseline
EVT_000193,False,NORMAL,none,Standard event within normal baseline
EVT_000194,False,NORMAL,none,Standard event within normal baseline
EVT_000195,False,NORMAL,none,Standard event within normal baseline
EVT_000196,False,NORMAL,none,Standard event within normal baseline
EVT_000197,False,NORMAL,none,Standard event within normal baseline
EVT_000198,False,NORMAL,none,Standard event within normal baseline
EVT_000199,False,NORMAL,none,Standard event within normal baseline
EVT_000200,False,NORMAL,none,Standard event within normal baseline
EVT_000201,False,NORMAL,none,Standard event within normal baseline
EVT_000202,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000203,False,NORMAL,none,Standard event within normal baseline
EVT_000204,False,NORMAL,none,Standard event within normal baseline
EVT_000205,False,NORMAL,none,Standard event within normal baseline
EVT_000206,False,NORMAL,none,Standard event within normal baseline
EVT_000207,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000208,False,NORMAL,none,Standard event within normal baseline
EVT_000209,True,COMMUNICATION_ANOMALY,medium,High-frequency short duration ping call
EVT_000210,False,NORMAL,none,Standard event within normal baseline
EVT_000211,False,NORMAL,none,Standard event within normal baseline
EVT_000212,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000213,False,NORMAL,none,Standard event within normal baseline
EVT_000214,False,NORMAL,none,Standard event within normal baseline
EVT_000215,False,NORMAL,none,Standard event within normal baseline
EVT_000216,False,NORMAL,none,Standard event within normal baseline
EVT_000217,False,NORMAL,none,Standard event within normal baseline
EVT_000218,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000219,False,NORMAL,none,Standard event within normal baseline
EVT_000220,False,NORMAL,none,Standard event within normal baseline
EVT_000221,False,NORMAL,none,Standard event within normal baseline
EVT_000222,False,NORMAL,none,Standard event within normal baseline
EVT_000223,False,NORMAL,none,Standard event within normal baseline
EVT_000224,False,NORMAL,none,Standard event within normal baseline
EVT_000225,False,NORMAL,none,Standard event within normal baseline
EVT_000226,False,NORMAL,none,Standard event within normal baseline
EVT_000227,False,NORMAL,none,Standard event within normal baseline
EVT_000228,False,NORMAL,none,Standard event within normal baseline
EVT_000229,False,NORMAL,none,Standard event within normal baseline
EVT_000230,False,NORMAL,none,Standard event within normal baseline
EVT_000231,True,COMMUNICATION_ANOMALY,medium,High-frequency short duration ping call
EVT_000232,False,NORMAL,none,Standard event within normal baseline
EVT_000233,False,NORMAL,none,Standard event within normal baseline
EVT_000234,False,NORMAL,none,Standard event within normal baseline
EVT_000235,False,NORMAL,none,Standard event within normal baseline
EVT_000236,True,SHARED_INFRASTRUCTURE,high,Event originated from high-fanout shared device/IP cluster
EVT_000237,False,NORMAL,none,Standard event within normal baseline
EVT_000238,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000239,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000240,False,NORMAL,none,Standard event within normal baseline
EVT_000241,False,NORMAL,none,Standard event within normal baseline
EVT_000242,False,NORMAL,none,Standard event within normal baseline
EVT_000243,False,NORMAL,none,Standard event within normal baseline
EVT_000244,False,NORMAL,none,Standard event within normal baseline
EVT_000245,False,NORMAL,none,Standard event within normal baseline
EVT_000246,False,NORMAL,none,Standard event within normal baseline
EVT_000247,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000248,True,LOCATION_ANOMALY,medium,Event recorded with rapid impossible geographical transit
EVT_000249,False,NORMAL,none,Standard event within normal baseline
EVT_000250,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000251,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000252,False,NORMAL,none,Standard event within normal baseline
EVT_000253,False,NORMAL,none,Standard event within normal baseline
EVT_000254,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000255,False,NORMAL,none,Standard event within normal baseline
EVT_000256,False,NORMAL,none,Standard event within normal baseline
EVT_000257,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000258,True,TRANSACTION_ANOMALY,high,Unusually high-value cross-account mule transfer
EVT_000259,False,NORMAL,none,Standard event within normal baseline
EVT_000260,True,LOCATION_ANOMALY,medium,Event recorded with rapid impossible geographical transit
EVT_000261,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000262,False,NORMAL,none,Standard event within normal baseline
EVT_000263,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000264,False,NORMAL,none,Standard event within normal baseline
EVT_000265,False,NORMAL,none,Standard event within normal baseline
EVT_000266,False,NORMAL,none,Standard event within normal baseline
EVT_000267,True,LOCATION_ANOMALY,medium,Event recorded with rapid impossible geographical transit
EVT_000268,False,NORMAL,none,Standard event within normal baseline
EVT_000269,False,NORMAL,none,Standard event within normal baseline
EVT_000270,False,NORMAL,none,Standard event within normal baseline
EVT_000271,False,NORMAL,none,Standard event within normal baseline
EVT_000272,False,NORMAL,none,Standard event within normal baseline
EVT_000273,False,NORMAL,none,Standard event within normal baseline
EVT_000274,False,NORMAL,none,Standard event within normal baseline
EVT_000275,False,NORMAL,none,Standard event within normal baseline
EVT_000276,True,SHARED_INFRASTRUCTURE,high,Event originated from high-fanout shared device/IP cluster
EVT_000277,False,NORMAL,none,Standard event within normal baseline
EVT_000278,False,NORMAL,none,Standard event within normal baseline
EVT_000279,False,NORMAL,none,Standard event within normal baseline
EVT_000280,False,NORMAL,none,Standard event within normal baseline
EVT_000281,True,TRANSACTION_ANOMALY,high,Unusually high-value cross-account mule transfer
EVT_000282,False,NORMAL,none,Standard event within normal baseline
EVT_000283,False,NORMAL,none,Standard event within normal baseline
EVT_000284,False,NORMAL,none,Standard event within normal baseline
EVT_000285,False,NORMAL,none,Standard event within normal baseline
EVT_000286,False,NORMAL,none,Standard event within normal baseline
EVT_000287,False,NORMAL,none,Standard event within normal baseline
EVT_000288,False,NORMAL,none,Standard event within normal baseline
EVT_000289,False,NORMAL,none,Standard event within normal baseline
EVT_000290,False,NORMAL,none,Standard event within normal baseline
EVT_000291,False,NORMAL,none,Standard event within normal baseline
EVT_000292,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000293,False,NORMAL,none,Standard event within normal baseline
EVT_000294,False,NORMAL,none,Standard event within normal baseline
EVT_000295,False,NORMAL,none,Standard event within normal baseline
EVT_000296,True,HIGH_ACTIVITY,medium,Elevated transactional volume from network hub
EVT_000297,False,NORMAL,none,Standard event within normal baseline
EVT_000298,False,NORMAL,none,Standard event within normal baseline
EVT_000299,False,NORMAL,none,Standard event within normal baseline
EVT_000300,False,NORMAL,none,Standard event within normal baseline
EVT_000301,True,COMMUNICATION_ANOMALY,medium,High-frequency short duration ping call
EVT_000302,False,NORMAL,none,Standard event within normal baseline
EVT_000303,False,NORMAL,none,Standard event within normal baseline
EVT_000304,False,NORMAL,none,Standard event within normal baseline
EVT_000305,False,NORMAL,none,Standard event within normal baseline
EVT_000306,False,NORMAL,none,Standard event within normal baseline
EVT_000307,False,NORMAL,none,Standard event within normal baseline
EVT_000308,False,NORMAL,none,Standard event within normal baseline
EVT_000309,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000310,False,NORMAL,none,Standard event within normal baseline
EVT_000311,False,NORMAL,none,Standard event within normal baseline
EVT_000312,False,NORMAL,none,Standard event within normal baseline
EVT_000313,False,NORMAL,none,Standard event within normal baseline
EVT_000314,False,NORMAL,none,Standard event within normal baseline
EVT_000315,False,NORMAL,none,Standard event within normal baseline
EVT_000316,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000317,False,NORMAL,none,Standard event within normal baseline
EVT_000318,False,NORMAL,none,Standard event within normal baseline
EVT_000319,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000320,True,HIGH_ACTIVITY,medium,Elevated transactional volume from network hub
EVT_000321,True,SHARED_INFRASTRUCTURE,high,Event originated from high-fanout shared device/IP cluster
EVT_000322,False,NORMAL,none,Standard event within normal baseline
EVT_000323,False,NORMAL,none,Standard event within normal baseline
EVT_000324,True,LOCATION_ANOMALY,medium,Event recorded with rapid impossible geographical transit
EVT_000325,False,NORMAL,none,Standard event within normal baseline
EVT_000326,False,NORMAL,none,Standard event within normal baseline
EVT_000327,True,TRANSACTION_ANOMALY,high,Unusually high-value cross-account mule transfer
EVT_000328,False,NORMAL,none,Standard event within normal baseline
EVT_000329,False,NORMAL,none,Standard event within normal baseline
EVT_000330,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000331,False,NORMAL,none,Standard event within normal baseline
EVT_000332,False,NORMAL,none,Standard event within normal baseline
EVT_000333,False,NORMAL,none,Standard event within normal baseline
EVT_000334,False,NORMAL,none,Standard event within normal baseline
EVT_000335,False,NORMAL,none,Standard event within normal baseline
EVT_000336,False,NORMAL,none,Standard event within normal baseline
EVT_000337,False,NORMAL,none,Standard event within normal baseline
EVT_000338,False,NORMAL,none,Standard event within normal baseline
EVT_000339,True,LOCATION_ANOMALY,medium,Event recorded with rapid impossible geographical transit
EVT_000340,False,NORMAL,none,Standard event within normal baseline
EVT_000341,False,NORMAL,none,Standard event within normal baseline
EVT_000342,False,NORMAL,none,Standard event within normal baseline
EVT_000343,False,NORMAL,none,Standard event within normal baseline
EVT_000344,False,NORMAL,none,Standard event within normal baseline
EVT_000345,False,NORMAL,none,Standard event within normal baseline
EVT_000346,False,NORMAL,none,Standard event within normal baseline
EVT_000347,False,NORMAL,none,Standard event within normal baseline
EVT_000348,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000349,False,NORMAL,none,Standard event within normal baseline
EVT_000350,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000351,False,NORMAL,none,Standard event within normal baseline
EVT_000352,False,NORMAL,none,Standard event within normal baseline
EVT_000353,False,NORMAL,none,Standard event within normal baseline
EVT_000354,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000355,False,NORMAL,none,Standard event within normal baseline
EVT_000356,False,NORMAL,none,Standard event within normal baseline
EVT_000357,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000358,False,NORMAL,none,Standard event within normal baseline
EVT_000359,False,NORMAL,none,Standard event within normal baseline
EVT_000360,False,NORMAL,none,Standard event within normal baseline
EVT_000361,False,NORMAL,none,Standard event within normal baseline
EVT_000362,False,NORMAL,none,Standard event within normal baseline
EVT_000363,False,NORMAL,none,Standard event within normal baseline
EVT_000364,False,NORMAL,none,Standard event within normal baseline
EVT_000365,False,NORMAL,none,Standard event within normal baseline
EVT_000366,False,NORMAL,none,Standard event within normal baseline
EVT_000367,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000368,False,NORMAL,none,Standard event within normal baseline
EVT_000369,False,NORMAL,none,Standard event within normal baseline
EVT_000370,False,NORMAL,none,Standard event within normal baseline
EVT_000371,False,NORMAL,none,Standard event within normal baseline
EVT_000372,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000373,False,NORMAL,none,Standard event within normal baseline
EVT_000374,False,NORMAL,none,Standard event within normal baseline
EVT_000375,False,NORMAL,none,Standard event within normal baseline
EVT_000376,True,HIGH_ACTIVITY,medium,Elevated transactional volume from network hub
EVT_000377,False,NORMAL,none,Standard event within normal baseline
EVT_000378,True,HIGH_ACTIVITY,medium,Elevated transactional volume from network hub
EVT_000379,False,NORMAL,none,Standard event within normal baseline
EVT_000380,False,NORMAL,none,Standard event within normal baseline
EVT_000381,False,NORMAL,none,Standard event within normal baseline
EVT_000382,False,NORMAL,none,Standard event within normal baseline
EVT_000383,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000384,False,NORMAL,none,Standard event within normal baseline
EVT_000385,False,NORMAL,none,Standard event within normal baseline
EVT_000386,False,NORMAL,none,Standard event within normal baseline
EVT_000387,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000388,False,NORMAL,none,Standard event within normal baseline
EVT_000389,False,NORMAL,none,Standard event within normal baseline
EVT_000390,False,NORMAL,none,Standard event within normal baseline
EVT_000391,False,NORMAL,none,Standard event within normal baseline
EVT_000392,False,NORMAL,none,Standard event within normal baseline
EVT_000393,False,NORMAL,none,Standard event within normal baseline
EVT_000394,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000395,False,NORMAL,none,Standard event within normal baseline
EVT_000396,False,NORMAL,none,Standard event within normal baseline
EVT_000397,False,NORMAL,none,Standard event within normal baseline
EVT_000398,False,NORMAL,none,Standard event within normal baseline
EVT_000399,False,NORMAL,none,Standard event within normal baseline
EVT_000400,False,NORMAL,none,Standard event within normal baseline
EVT_000401,False,NORMAL,none,Standard event within normal baseline
EVT_000402,False,NORMAL,none,Standard event within normal baseline
EVT_000403,False,NORMAL,none,Standard event within normal baseline
EVT_000404,False,NORMAL,none,Standard event within normal baseline
EVT_000405,False,NORMAL,none,Standard event within normal baseline
EVT_000406,False,NORMAL,none,Standard event within normal baseline
EVT_000407,False,NORMAL,none,Standard event within normal baseline
EVT_000408,False,NORMAL,none,Standard event within normal baseline
EVT_000409,False,NORMAL,none,Standard event within normal baseline
EVT_000410,False,NORMAL,none,Standard event within normal baseline
EVT_000411,False,NORMAL,none,Standard event within normal baseline
EVT_000412,False,NORMAL,none,Standard event within normal baseline
EVT_000413,False,NORMAL,none,Standard event within normal baseline
EVT_000414,False,NORMAL,none,Standard event within normal baseline
EVT_000415,True,TRANSACTION_ANOMALY,high,Unusually high-value cross-account mule transfer
EVT_000416,False,NORMAL,none,Standard event within normal baseline
EVT_000417,False,NORMAL,none,Standard event within normal baseline
EVT_000418,False,NORMAL,none,Standard event within normal baseline
EVT_000419,False,NORMAL,none,Standard event within normal baseline
EVT_000420,False,NORMAL,none,Standard event within normal baseline
EVT_000421,False,NORMAL,none,Standard event within normal baseline
EVT_000422,False,NORMAL,none,Standard event within normal baseline
EVT_000423,False,NORMAL,none,Standard event within normal baseline
EVT_000424,False,NORMAL,none,Standard event within normal baseline
EVT_000425,False,NORMAL,none,Standard event within normal baseline
EVT_000426,False,NORMAL,none,Standard event within normal baseline
EVT_000427,False,NORMAL,none,Standard event within normal baseline
EVT_000428,False,NORMAL,none,Standard event within normal baseline
EVT_000429,False,NORMAL,none,Standard event within normal baseline
EVT_000430,False,NORMAL,none,Standard event within normal baseline
EVT_000431,False,NORMAL,none,Standard event within normal baseline
EVT_000432,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000433,False,NORMAL,none,Standard event within normal baseline
EVT_000434,False,NORMAL,none,Standard event within normal baseline
EVT_000435,False,NORMAL,none,Standard event within normal baseline
EVT_000436,False,NORMAL,none,Standard event within normal baseline
EVT_000437,False,NORMAL,none,Standard event within normal baseline
EVT_000438,False,NORMAL,none,Standard event within normal baseline
EVT_000439,False,NORMAL,none,Standard event within normal baseline
EVT_000440,False,NORMAL,none,Standard event within normal baseline
EVT_000441,False,NORMAL,none,Standard event within normal baseline
EVT_000442,False,NORMAL,none,Standard event within normal baseline
EVT_000443,False,NORMAL,none,Standard event within normal baseline
EVT_000444,False,NORMAL,none,Standard event within normal baseline
EVT_000445,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000446,False,NORMAL,none,Standard event within normal baseline
EVT_000447,False,NORMAL,none,Standard event within normal baseline
EVT_000448,False,NORMAL,none,Standard event within normal baseline
EVT_000449,False,NORMAL,none,Standard event within normal baseline
EVT_000450,False,NORMAL,none,Standard event within normal baseline
EVT_000451,True,BURST_ACTIVITY,high,Event occurred during sudden concentrated activity surge
EVT_000452,False,NORMAL,none,Standard event within normal baseline
EVT_000453,False,NORMAL,none,Standard event within normal baseline
EVT_000454,False,NORMAL,none,Standard event within normal baseline
EVT_000455,False,NORMAL,none,Standard event within normal baseline
EVT_000456,False,NORMAL,none,Standard event within normal baseline
EVT_000457,False,NORMAL,none,Standard event within normal baseline
EVT_000458,False,NORMAL,none,Standard event within normal baseline
EVT_000459,False,NORMAL,none,Standard event within normal baseline
